30.03.2010 11:09:46: Файл startup.txt загружен
30.03.2010 11:09:46: SService запущен
30.03.2010 11:09:46: Канал channel1 открыт
30.03.2010 11:09:46: Канал channel2 открыт
30.03.2010 11:09:46: Канал channel3 открыт
30.03.2010 11:09:46: Канал channel4 открыт
30.03.2010 11:09:46: Канал channel5 открыт
30.03.2010 11:09:46: Канал channel6 открыт
30.03.2010 11:09:51: Клиент 1 зарегистрирован
30.03.2010 11:09:51: Запрос списка каналов
30.03.2010 11:09:53: Клиент 2 зарегистрирован
30.03.2010 11:09:53: Запрос списка каналов
30.03.2010 11:09:56: Клиент 3 зарегистрирован
30.03.2010 11:09:56: Запрос списка каналов
30.03.2010 11:09:58: Клиент 4 зарегистрирован
30.03.2010 11:09:58: Запрос списка каналов
30.03.2010 11:09:59: Клиент 5 зарегистрирован
30.03.2010 11:09:59: Запрос списка каналов
30.03.2010 11:10:02: Клиент 6 зарегистрирован
30.03.2010 11:10:02: Запрос списка каналов
30.03.2010 11:10:04: Клиент 7 зарегистрирован
30.03.2010 11:10:04: Запрос списка каналов
30.03.2010 11:10:06: Клиент 8 зарегистрирован
30.03.2010 11:10:06: Запрос списка каналов
30.03.2010 11:10:08: Клиент 9 зарегистрирован
30.03.2010 11:10:08: Запрос списка каналов
30.03.2010 11:10:10: Клиент 0 зарегистрирован
30.03.2010 11:10:10: Запрос списка каналов
30.03.2010 11:10:39: Клиент 0 отключен
30.03.2010 11:10:39: Клиент 9 отключен
30.03.2010 11:10:39: Клиент 8 отключен
30.03.2010 11:10:39: Клиент 6 отключен
30.03.2010 11:10:39: Клиент 7 отключен
30.03.2010 11:10:39: Клиент 5 отключен
30.03.2010 11:10:39: Клиент 4 отключен
30.03.2010 11:10:39: Клиент 3 отключен
30.03.2010 11:10:39: Клиент 1 отключен
30.03.2010 11:10:39: Клиент 2 отключен
